pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;jaottelu;ajoneuvoluokka;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
471;vt3_Tampere_Multisilta;20240501;*;;*;Kaikki;kaikki;613;436;295;205;212;265;368;432;581;1024;1592;2122;2301;2359;2344;2401;2398;2433;2221;1765;1303;998;615;283;29566
471;vt3_Tampere_Multisilta;20240502;*;;*;Kaikki;kaikki;154;136;103;130;221;785;2394;3747;3457;2460;2363;2489;2501;2713;3300;4454;4524;3289;2645;1991;1617;1070;647;352;47542
471;vt3_Tampere_Multisilta;20240503;*;;*;Kaikki;kaikki;217;162;123;148;227;703;2011;3349;3025;2406;2435;2696;2897;3372;4141;5175;4899;4010;3217;2385;1827;1257;881;587;52150
471;vt3_Tampere_Multisilta;20240504;*;;*;Kaikki;kaikki;399;241;175;135;161;247;470;907;1737;2596;3158;3442;3582;3535;3426;3286;2971;2878;2542;1954;1523;1170;955;589;42079
471;vt3_Tampere_Multisilta;20240505;*;;*;Kaikki;kaikki;430;275;210;124;104;112;264;460;905;1373;1975;2630;3127;3364;3606;3670;3701;3547;3165;2347;1685;1011;613;338;39036
471;vt3_Tampere_Multisilta;20240506;*;;*;Kaikki;kaikki;187;141;121;131;287;923;2525;3940;3525;2543;2267;2356;2379;2580;3048;4391;4674;3243;2497;2099;1519;1033;567;274;47250
471;vt3_Tampere_Multisilta;20240507;*;;*;Kaikki;kaikki;185;141;103;156;243;752;2459;4041;3458;2527;2184;2253;2421;2539;3224;4584;4839;3269;2627;1969;1607;1056;626;327;47590
471;vt3_Tampere_Multisilta;20240508;*;;*;Kaikki;kaikki;214;137;122;124;216;773;2363;3856;3343;2539;2259;2564;2681;2931;3709;5023;5222;4072;3219;2515;1894;1334;853;555;52518
471;vt3_Tampere_Multisilta;20240509;*;;*;Kaikki;kaikki;381;243;222;160;190;358;813;823;1022;1762;2306;2865;3129;3258;3234;3264;3023;2723;2504;1851;1434;1012;630;316;37523
471;vt3_Tampere_Multisilta;20240510;*;;*;Kaikki;kaikki;190;144;141;131;224;471;1513;2666;2495;2460;2573;2985;3311;3516;4150;4749;4547;3753;3146;2276;1771;1185;765;481;49643
471;vt3_Tampere_Multisilta;20240511;*;;*;Kaikki;kaikki;454;287;193;140;157;236;427;653;1108;2197;3023;3457;3615;3678;3684;3482;3321;3151;2854;2452;1642;1178;861;552;42802
471;vt3_Tampere_Multisilta;20240512;*;;*;Kaikki;kaikki;406;304;368;169;125;128;236;341;505;1166;1993;3042;3593;3611;3476;3885;4298;4204;3769;2815;2056;1239;651;322;42702
471;vt3_Tampere_Multisilta;20240513;*;;*;Kaikki;kaikki;172;93;117;127;291;899;2649;3853;3427;2567;2252;2400;2499;2622;3126;4328;4519;3021;2358;1868;1672;1061;661;357;46939
471;vt3_Tampere_Multisilta;20240514;*;;*;Kaikki;kaikki;246;161;165;149;244;772;2510;3936;3382;2498;2327;2297;2375;2591;3213;4510;4779;3262;2563;2143;1625;1221;712;388;48069
471;vt3_Tampere_Multisilta;20240515;*;;*;Kaikki;kaikki;257;186;150;166;228;806;2397;3940;3566;2551;2280;2445;2490;2721;3332;4753;4866;3538;2705;2189;1809;1266;785;394;49820
471;vt3_Tampere_Multisilta;20240516;*;;*;Kaikki;kaikki;278;207;150;173;256;796;2329;3850;3446;2468;2395;2569;2663;2825;3503;4839;4997;3606;2937;2364;1798;1260;845;499;51053
471;vt3_Tampere_Multisilta;20240517;*;;*;Kaikki;kaikki;335;253;158;191;271;757;2155;3404;3062;2710;2584;2768;3147;3521;4387;5260;5137;3659;3709;2570;2004;1375;1282;770;55469
471;vt3_Tampere_Multisilta;20240518;*;;*;Kaikki;kaikki;486;348;238;173;152;255;539;879;1525;2646;2910;3326;3412;3261;3279;3123;3018;2861;2411;1782;1529;1379;980;687;41199
471;vt3_Tampere_Multisilta;20240519;*;;*;Kaikki;kaikki;564;698;415;389;167;151;303;387;643;1126;1728;2408;3018;3123;3468;3472;3354;3536;3280;2642;1940;1364;723;431;39330
471;vt3_Tampere_Multisilta;20240520;*;;*;Kaikki;kaikki;219;161;155;152;315;874;2619;3944;3497;2635;2346;2432;2476;2555;3189;4483;4709;3394;2571;2013;1717;1030;683;330;48499
471;vt3_Tampere_Multisilta;20240521;*;;*;Kaikki;kaikki;248;174;123;131;236;814;2519;4054;3474;2632;2208;2352;2396;2587;3310;4659;4723;3420;2545;2062;1662;1112;680;383;48504
471;vt3_Tampere_Multisilta;20240522;*;;*;Kaikki;kaikki;241;161;132;157;241;806;2490;3891;3493;2517;2320;2401;2574;2776;3373;4632;4763;3539;3175;2215;1756;1409;1030;506;50598
471;vt3_Tampere_Multisilta;20240523;*;;*;Kaikki;kaikki;264;213;164;155;247;767;2423;3811;3376;2570;2502;2561;2710;2955;3467;4720;4923;3817;2910;2450;1885;1235;782;476;51383
471;vt3_Tampere_Multisilta;20240524;*;;*;Kaikki;kaikki;366;201;153;151;235;746;2088;3413;3048;2554;2544;2808;3177;3611;4382;5314;4962;4277;3417;2500;1855;1336;1007;765;54910
471;vt3_Tampere_Multisilta;20240525;*;;*;Kaikki;kaikki;517;359;278;206;173;266;495;829;1342;2358;2856;3310;3542;3538;3216;3008;2983;2635;2451;1853;1545;1188;936;699;40583
471;vt3_Tampere_Multisilta;20240526;*;;*;Kaikki;kaikki;522;389;296;215;139;157;290;363;604;1128;1806;2600;917;3280;3379;3564;3661;3553;3240;2499;1889;1182;708;372;36753
471;vt3_Tampere_Multisilta;20240527;*;;*;Kaikki;kaikki;253;166;138;160;307;927;2533;3811;3407;2577;2330;2496;2479;2676;3290;4397;4561;3214;2606;2025;1717;1184;770;344;48368
471;vt3_Tampere_Multisilta;20240528;*;;*;Kaikki;kaikki;233;202;132;135;244;839;2511;3968;3524;2569;2254;2400;2538;2694;3339;4493;4698;3367;2672;2110;1705;1183;759;448;49017
471;vt3_Tampere_Multisilta;20240529;*;;*;Kaikki;kaikki;266;177;149;139;240;813;2573;3846;3370;2526;2323;2407;2724;3110;3333;4453;4842;3439;2773;2173;1864;1257;805;425;50027
471;vt3_Tampere_Multisilta;20240530;*;;*;Kaikki;kaikki;287;179;153;143;277;766;2427;3695;3392;2569;2259;2678;2743;3104;3560;4808;4854;3567;3005;2414;1825;1299;845;485;51334
471;vt3_Tampere_Multisilta;20240531;*;;*;Kaikki;kaikki;290;227;175;170;241;792;2192;3241;3064;2494;2629;2865;3305;3596;4292;5079;5047;4196;3291;2526;2109;1374;1057;679;54931
471;vt3_Tampere_Multisilta;20240601;*;;*;Kaikki;kaikki;484;335;231;187;154;262;424;896;1269;2087;2921;3869;4754;4669;3902;3278;3222;3370;3177;2623;2094;1629;1319;648;47804
471;vt3_Tampere_Multisilta;20240602;*;;*;Kaikki;kaikki;565;443;349;250;203;185;307;361;482;1037;1778;2560;3100;3398;3634;3519;3608;3650;3254;2443;1926;1275;758;459;39544
471;vt3_Tampere_Multisilta;20240603;*;;*;Kaikki;kaikki;265;157;146;161;314;926;2548;3769;3458;2734;2566;2793;2719;2992;3389;4566;4621;3404;2761;2151;1781;1229;775;596;50821
471;vt3_Tampere_Multisilta;20240604;*;;*;Kaikki;kaikki;290;183;157;149;272;833;2474;3716;3357;2659;2525;2602;2839;2867;3518;4810;4882;3666;2848;2287;1882;1673;1081;510;52080
471;vt3_Tampere_Multisilta;20240605;*;;*;Kaikki;kaikki;291;184;137;154;261;794;2510;3678;3309;2740;2367;2643;2700;2931;3582;4900;4928;3868;3130;2300;1803;1275;1686;656;52827
471;vt3_Tampere_Multisilta;20240606;*;;*;Kaikki;kaikki;327;239;168;153;269;812;2420;3531;3269;2622;2584;2743;2884;3142;3624;4978;5070;3902;3033;2539;1938;1338;940;570;53095
471;vt3_Tampere_Multisilta;20240607;*;;*;Kaikki;kaikki;338;254;150;171;279;755;2192;3145;2739;2730;2714;3143;3522;4016;4634;5357;5161;4297;3506;2609;2075;1457;1006;715;56965
471;vt3_Tampere_Multisilta;20240608;*;;*;Kaikki;kaikki;615;587;380;204;200;284;488;861;1527;2391;3079;3619;3677;3819;3731;3304;3296;3169;2869;1954;1628;1427;1017;739;44865
471;vt3_Tampere_Multisilta;20240609;*;;*;Kaikki;kaikki;557;471;343;251;182;176;370;475;678;1321;1795;2532;3426;3512;3891;3949;3770;3693;3388;2377;1980;1273;768;445;41623
471;vt3_Tampere_Multisilta;20240610;*;;*;Kaikki;kaikki;415;674;305;191;306;887;2440;3561;3248;2587;2468;2786;2831;3005;3341;4546;4711;3442;2743;2116;1744;1080;688;369;50484
471;vt3_Tampere_Multisilta;20240611;*;;*;Kaikki;kaikki;238;173;176;151;255;753;2436;3662;3339;2664;2419;2613;2733;2997;3278;4604;4970;3685;2952;2216;1837;1377;832;465;50825
471;vt3_Tampere_Multisilta;20240612;*;;*;Kaikki;kaikki;307;186;163;167;293;736;2395;3548;3139;2632;2496;2652;2736;2930;3465;4753;4613;3745;2821;2385;1817;1275;848;462;50564
471;vt3_Tampere_Multisilta;20240613;*;;*;Kaikki;kaikki;318;217;173;165;255;762;2297;3488;3173;2742;2532;2836;3030;3197;3776;4961;4958;3970;3265;2476;2077;1341;928;538;53475
471;vt3_Tampere_Multisilta;20240614;*;;*;Kaikki;kaikki;361;235;212;168;273;706;2150;2970;2924;2809;3093;3380;3635;3936;4723;5546;5277;4521;3837;2782;2231;1495;1075;787;59126
471;vt3_Tampere_Multisilta;20240615;*;;*;Kaikki;kaikki;535;429;311;218;229;275;522;950;1498;2434;3263;3760;4046;3908;3730;3400;3349;3097;2917;2219;1862;1496;1113;772;46333
471;vt3_Tampere_Multisilta;20240616;*;;*;Kaikki;kaikki;630;473;326;246;205;244;314;510;786;1416;1995;2896;3735;4194;4420;4052;4331;4284;4068;2997;2172;1456;864;486;47100
471;vt3_Tampere_Multisilta;20240617;*;;*;Kaikki;kaikki;285;177;162;160;305;816;2559;3474;3115;2793;2652;2785;3046;3203;3538;4722;4594;3572;2890;2279;1879;1181;718;451;51356
471;vt3_Tampere_Multisilta;20240618;*;;*;Kaikki;kaikki;279;200;143;153;258;770;2364;3444;3096;2693;2667;2844;2945;3002;3473;4700;4748;3884;2959;2499;1981;1441;966;529;52038
471;vt3_Tampere_Multisilta;20240619;*;;*;Kaikki;kaikki;317;211;173;192;253;750;2282;3222;3014;2651;2569;2984;3144;3366;3837;4685;3884;3974;3638;2824;2407;1474;974;716;53541
471;vt3_Tampere_Multisilta;20240620;*;;*;Kaikki;kaikki;375;231;194;189;272;733;1961;2620;2380;2393;2701;3256;3720;4232;4598;4751;4637;4046;3720;2736;2053;1404;1013;653;54868
471;vt3_Tampere_Multisilta;20240621;*;;*;Kaikki;kaikki;448;302;243;169;183;239;388;473;733;1357;2424;3281;3459;2938;2637;2141;1646;1422;1199;1069;884;741;646;532;29554
471;vt3_Tampere_Multisilta;20240622;*;;*;Kaikki;kaikki;408;333;257;213;128;127;203;249;291;567;903;1346;1633;1680;1556;1566;1546;1468;1379;1299;1193;964;743;534;20586
471;vt3_Tampere_Multisilta;20240623;*;;*;Kaikki;kaikki;393;294;235;162;126;139;245;255;340;653;1238;2171;2905;3318;3732;3694;3783;3679;3576;2922;2183;1505;877;498;38923
471;vt3_Tampere_Multisilta;20240624;*;;*;Kaikki;kaikki;251;164;156;167;281;795;2098;2923;2576;2487;2549;2909;3103;3167;3624;4429;4390;3400;2763;2305;1834;1157;734;443;48705
471;vt3_Tampere_Multisilta;20240625;*;;*;Kaikki;kaikki;252;189;146;148;233;739;2111;2975;2675;2483;2523;2680;2920;3079;3369;4370;4390;3365;2693;2114;1969;1357;907;519;48206
471;vt3_Tampere_Multisilta;20240626;*;;*;Kaikki;kaikki;318;198;215;195;248;729;2050;2941;2686;2553;2512;2697;3170;3150;3552;4440;4473;3638;2884;2409;2010;1446;909;616;50039
471;vt3_Tampere_Multisilta;20240627;*;;*;Kaikki;kaikki;389;296;204;189;249;679;1968;2763;2580;2516;2813;3078;3167;3229;3711;4628;4504;3624;2968;2350;1996;1308;931;621;50761
471;vt3_Tampere_Multisilta;20240628;*;;*;Kaikki;kaikki;356;257;181;218;318;785;1749;2429;2279;2343;2744;3150;3500;3599;4352;4950;4752;4122;3071;2263;2071;1591;1071;756;52907
471;vt3_Tampere_Multisilta;20240629;*;;*;Kaikki;kaikki;489;391;284;256;204;267;449;658;1085;1837;2697;3368;3717;3605;3494;3275;3226;2991;2601;2060;1634;1325;944;941;41798
471;vt3_Tampere_Multisilta;20240630;*;;*;Kaikki;kaikki;583;421;325;239;186;201;315;463;649;1229;1896;2863;3464;3510;3826;3789;3895;3905;3609;2803;2023;1378;865;534;42971
471;vt3_Tampere_Multisilta;20240701;*;;*;Kaikki;kaikki;291;231;166;179;275;768;2080;2626;2324;2341;2690;3106;3298;3564;3865;4469;4483;3585;2813;2118;1620;1103;757;451;49203
471;vt3_Tampere_Multisilta;20240702;*;;*;Kaikki;kaikki;303;220;157;176;223;697;1980;2606;2377;2502;2758;3006;3153;3160;3528;4284;4449;3417;2714;2267;1856;1400;835;550;48618
471;vt3_Tampere_Multisilta;20240703;*;;*;Kaikki;kaikki;362;220;169;180;258;694;1946;2476;2317;2447;2644;3104;3365;3387;3755;4573;4484;3740;2808;2313;2132;1384;931;586;50275
471;vt3_Tampere_Multisilta;20240704;*;;*;Kaikki;kaikki;366;254;176;168;251;675;1961;2441;2178;2476;2696;3068;3405;3556;3920;4771;4740;3915;3103;2482;2144;1402;975;633;51756
471;vt3_Tampere_Multisilta;20240705;*;;*;Kaikki;kaikki;396;272;172;176;255;629;1670;2224;2015;2375;2859;3435;3964;4155;4715;5257;4868;4099;3259;2257;1749;1356;1273;1104;54534
471;vt3_Tampere_Multisilta;20240706;*;;*;Kaikki;kaikki;588;400;289;206;178;258;406;590;1029;1942;2654;3337;3807;3755;3671;3146;3140;3046;2560;1845;1609;1451;1013;783;41703
471;vt3_Tampere_Multisilta;20240707;*;;*;Kaikki;kaikki;644;547;350;259;192;165;266;358;515;1010;1746;2757;3590;3891;3854;3974;3921;3628;3189;2537;1961;1383;861;479;42077
471;vt3_Tampere_Multisilta;20240708;*;;*;Kaikki;kaikki;288;287;244;190;324;760;1982;2474;2318;2576;2925;3363;3477;3550;3703;4407;4155;3336;2666;2148;1848;1257;848;482;49608
471;vt3_Tampere_Multisilta;20240709;*;;*;Kaikki;kaikki;299;208;148;160;211;609;1810;2350;2041;2252;2650;3100;3341;3424;3758;4405;4318;3474;2690;2160;1796;1241;756;466;47667
471;vt3_Tampere_Multisilta;20240710;*;;*;Kaikki;kaikki;370;206;176;141;207;661;1784;2311;2107;2433;2867;3148;3493;3386;3597;4329;4279;3476;2873;2385;2191;1539;950;557;49466
471;vt3_Tampere_Multisilta;20240711;*;;*;Kaikki;kaikki;365;264;205;142;249;583;1732;2255;1946;2280;2636;3174;3516;3651;3831;4722;4609;3699;3033;2477;1953;1251;838;539;49950
471;vt3_Tampere_Multisilta;20240712;*;;*;Kaikki;kaikki;288;214;187;189;232;585;1597;2015;1824;2363;2887;3507;3902;4249;4558;5008;4627;3887;3247;2348;1885;1489;1060;750;52898
471;vt3_Tampere_Multisilta;20240713;*;;*;Kaikki;kaikki;539;588;307;202;182;253;425;617;1025;2077;2954;3376;3683;3602;3288;3054;2982;2873;2587;1997;1900;1607;1304;794;42216
471;vt3_Tampere_Multisilta;20240714;*;;*;Kaikki;kaikki;587;462;355;245;192;217;290;382;548;1098;1801;2686;3553;3810;3960;3905;3923;3888;3341;2741;1968;1275;726;435;42388
471;vt3_Tampere_Multisilta;20240715;*;;*;Kaikki;kaikki;417;231;158;155;276;666;1857;2387;2105;2432;2901;3259;3590;3663;3817;4404;4159;3637;2955;2261;1856;1628;875;492;50181
471;vt3_Tampere_Multisilta;20240716;*;;*;Kaikki;kaikki;320;201;163;148;243;599;1769;2313;2063;2515;2907;3192;3407;3513;3654;4431;4250;3399;2821;2291;2026;1630;941;599;49395
471;vt3_Tampere_Multisilta;20240717;*;;*;Kaikki;kaikki;329;219;157;154;207;609;1707;2248;1895;2331;2731;3148;3546;3723;4099;4620;4573;3833;2976;2179;2037;1368;939;582;50210
471;vt3_Tampere_Multisilta;20240718;*;;*;Kaikki;kaikki;353;249;170;158;204;573;1729;2090;1809;2354;2815;3336;3801;3830;4058;4788;4619;3805;3128;2532;2188;1477;917;614;51597
471;vt3_Tampere_Multisilta;20240719;*;;*;Kaikki;kaikki;437;250;198;147;238;588;1495;1887;1770;2160;2762;3499;3919;4253;4712;5117;4725;4042;3356;2543;2018;1439;956;763;53274
471;vt3_Tampere_Multisilta;20240720;*;;*;Kaikki;kaikki;570;349;269;180;217;260;433;569;965;1859;2722;3400;3680;3672;3543;3320;3213;2991;2572;2057;1698;1272;1252;1028;42091
471;vt3_Tampere_Multisilta;20240721;*;;*;Kaikki;kaikki;1069;551;425;295;201;210;309;401;715;1237;1943;2834;3567;3965;3970;3999;3902;3926;3752;3283;2483;1556;955;596;46144
471;vt3_Tampere_Multisilta;20240722;*;;*;Kaikki;kaikki;278;201;152;145;249;718;1957;2422;2239;2592;2944;3356;3602;3506;3773;4301;4063;3329;2743;2156;1912;1248;936;547;49369
471;vt3_Tampere_Multisilta;20240723;*;;*;Kaikki;kaikki;311;209;161;141;218;630;1763;2294;2079;2382;2726;3164;3295;3415;3721;4366;4323;3487;2773;2259;1974;1489;887;593;48660
471;vt3_Tampere_Multisilta;20240724;*;;*;Kaikki;kaikki;339;213;166;162;220;617;1789;391;1944;2341;2732;3097;3449;3552;3964;4551;4568;3651;2932;2400;2043;1378;908;521;47928
471;vt3_Tampere_Multisilta;20240725;*;;*;Kaikki;kaikki;309;227;176;142;227;598;1778;2228;2037;2482;2839;3160;3557;3743;4000;4757;4499;3770;3182;2479;2211;1795;993;674;51863
471;vt3_Tampere_Multisilta;20240726;*;;*;Kaikki;kaikki;348;276;198;170;222;580;1598;2007;1885;2389;2989;3502;3930;4217;4521;5109;4885;4153;3356;2683;2218;1665;1162;776;54839
471;vt3_Tampere_Multisilta;20240727;*;;*;Kaikki;kaikki;556;393;254;194;186;241;438;770;1206;2140;2769;3492;3999;3889;3752;3496;3224;2987;2723;2312;2010;1315;1070;821;44237
471;vt3_Tampere_Multisilta;20240728;*;;*;Kaikki;kaikki;581;575;612;274;184;179;284;374;585;1201;1824;2836;3572;3988;4036;3987;3918;4012;3471;2651;2310;1571;1022;507;44554
471;vt3_Tampere_Multisilta;20240729;*;;*;Kaikki;kaikki;279;410;487;164;277;787;2110;2593;2313;2466;2594;3015;3272;3479;3809;4594;4439;3467;2772;2156;1778;1304;927;483;49975
471;vt3_Tampere_Multisilta;20240730;*;;*;Kaikki;kaikki;259;169;140;137;203;669;1973;2577;2275;2516;2866;3190;3392;3519;3746;4670;4666;3638;2853;2353;2016;1454;952;521;50754
471;vt3_Tampere_Multisilta;20240731;*;;*;Kaikki;kaikki;313;392;433;167;219;661;1933;2530;2273;2383;2634;3158;3528;3900;4223;5100;4901;3737;3150;2535;2140;1404;937;565;53216
471;vt3_Tampere_Multisilta;20240801;*;;*;Kaikki;kaikki;353;360;539;247;249;685;1948;2614;2400;2488;2897;3376;3699;3817;4181;5126;5057;4156;3400;2689;2264;1576;941;622;55684
471;vt3_Tampere_Multisilta;20240802;*;;*;Kaikki;kaikki;336;235;170;150;232;632;1809;2272;2125;2437;2968;3433;3849;4111;4863;5315;5177;4319;3593;2732;2208;1633;1087;790;56476
471;vt3_Tampere_Multisilta;20240803;*;;*;Kaikki;kaikki;494;339;249;187;177;257;474;737;1281;2147;2822;3548;3975;4041;3986;3630;3473;3355;3257;2271;2159;1564;1113;920;46456
471;vt3_Tampere_Multisilta;20240804;*;;*;Kaikki;kaikki;561;447;330;183;168;193;290;422;670;1199;2003;2834;3650;3798;4126;4396;4312;4244;3700;2910;2212;1467;855;528;45498
471;vt3_Tampere_Multisilta;20240805;*;;*;Kaikki;kaikki;271;168;169;167;278;834;2264;3263;3024;2468;2558;2791;2993;3002;3485;4585;4594;3706;2830;2136;1861;1198;760;433;49838
471;vt3_Tampere_Multisilta;20240806;*;;*;Kaikki;kaikki;271;209;140;161;241;695;2112;3288;3083;2537;2434;2751;2857;3016;3473;4606;4951;3650;2880;2236;2107;1393;800;464;50355
471;vt3_Tampere_Multisilta;20240807;*;;*;Kaikki;kaikki;250;152;154;142;218;685;2039;3213;3008;2605;2430;2529;2805;2941;3383;2641;3306;3626;2775;2205;2019;1420;829;487;45862
471;vt3_Tampere_Multisilta;20240808;*;;*;Kaikki;kaikki;244;201;149;148;232;709;2065;3375;3012;2490;2459;2601;2824;3072;3673;4683;4857;3887;2919;2288;1999;1761;964;498;51110
471;vt3_Tampere_Multisilta;20240809;*;;*;Kaikki;kaikki;281;173;160;149;215;659;1902;2975;2631;2450;2572;2949;3320;3866;4459;5313;5296;4236;3355;2447;1860;1536;990;711;54505
471;vt3_Tampere_Multisilta;20240810;*;;*;Kaikki;kaikki;449;281;266;200;180;210;422;656;1016;1834;2613;3354;3824;3841;3516;3499;3241;2974;2622;1954;1695;1331;1019;766;41763
471;vt3_Tampere_Multisilta;20240811;*;;*;Kaikki;kaikki;550;402;299;215;159;180;307;378;644;1112;1806;2674;3204;3683;3868;3939;3949;3975;3535;2941;2204;1292;717;370;42403
471;vt3_Tampere_Multisilta;20240812;*;;*;Kaikki;kaikki;243;140;129;155;297;835;2435;3742;3250;2494;2317;2551;2624;2689;3213;4491;4481;3338;2598;2052;1687;1173;718;378;48030
471;vt3_Tampere_Multisilta;20240813;*;;*;Kaikki;kaikki;226;139;131;132;244;738;2289;3753;3309;2497;2289;2539;2623;2732;3323;4661;4873;3455;2709;2185;1799;1297;847;447;49237
471;vt3_Tampere_Multisilta;20240814;*;;*;Kaikki;kaikki;232;149;119;140;239;771;2341;3673;3248;2560;2271;2572;2622;2794;3481;4629;4946;3585;2829;2187;1911;1466;889;468;50122
471;vt3_Tampere_Multisilta;20240815;*;;*;Kaikki;kaikki;274;179;145;140;251;732;2186;3679;3231;2517;2463;2658;2733;2981;3785;5057;5223;3970;3282;2742;2161;1491;1021;527;53428
471;vt3_Tampere_Multisilta;20240816;*;;*;Kaikki;kaikki;301;203;163;166;223;737;2019;3099;2786;2630;2756;3298;3665;4210;4970;5802;5435;4573;3948;2691;1918;1505;1202;899;59199
471;vt3_Tampere_Multisilta;20240817;*;;*;Kaikki;kaikki;617;474;347;231;215;260;450;716;1139;2076;3014;3807;3937;3709;3632;3525;3263;3053;2720;2072;1721;1554;1131;885;44548
471;vt3_Tampere_Multisilta;20240818;*;;*;Kaikki;kaikki;892;665;406;345;261;233;374;388;776;1201;1825;2948;3935;4099;4049;3941;4152;4081;3673;2909;2207;1419;777;379;45935
471;vt3_Tampere_Multisilta;20240819;*;;*;Kaikki;kaikki;217;145;120;132;283;854;2481;3802;3369;2544;2312;2409;2482;2708;3150;4482;4618;3215;2626;2084;1722;1253;732;392;48132
471;vt3_Tampere_Multisilta;20240820;*;;*;Kaikki;kaikki;246;165;136;130;236;740;2366;3853;3369;2541;2290;2483;2563;2699;3310;4554;4842;3422;2694;2134;1782;1206;720;406;48887
471;vt3_Tampere_Multisilta;20240821;*;;*;Kaikki;kaikki;252;159;128;143;225;761;2345;3839;3346;2406;2175;2419;2505;2833;3290;4749;4954;3573;2850;2239;1965;1300;892;427;49775
471;vt3_Tampere_Multisilta;20240822;*;;*;Kaikki;kaikki;242;159;125;140;235;763;2329;3766;3243;2485;2332;2542;2708;3006;3511;4857;5036;3813;3032;2489;1928;1343;910;415;51409
471;vt3_Tampere_Multisilta;20240823;*;;*;Kaikki;kaikki;263;179;129;168;241;720;2060;3234;2888;2504;2513;2986;3328;3892;4670;5603;5525;4615;3519;2579;2103;1603;1179;723;57224
471;vt3_Tampere_Multisilta;20240824;*;;*;Kaikki;kaikki;455;401;526;216;181;231;465;821;1339;2201;2976;3696;4197;4182;3970;3619;3285;2937;2863;2259;1646;1281;1119;1497;46363
471;vt3_Tampere_Multisilta;20240825;*;;*;Kaikki;kaikki;1178;511;479;249;156;154;308;386;632;1150;1844;2788;3507;3769;3850;4022;4168;4084;3520;2685;2170;1302;707;372;43991
471;vt3_Tampere_Multisilta;20240826;*;;*;Kaikki;kaikki;208;120;131;158;294;860;2458;3897;3453;2488;2304;2462;2509;2622;3187;4490;4640;3263;2595;2087;1710;1100;660;356;48052
471;vt3_Tampere_Multisilta;20240827;*;;*;Kaikki;kaikki;208;153;118;144;261;741;2456;4046;3408;2617;2219;2358;2497;2676;3295;4605;4870;3518;2777;2159;1849;1208;695;396;49274
471;vt3_Tampere_Multisilta;20240828;*;;*;Kaikki;kaikki;214;157;116;131;232;745;2375;3932;3345;2504;2303;2411;2509;2672;3342;4735;5015;3538;2761;2319;1946;1259;869;395;49825
471;vt3_Tampere_Multisilta;20240829;*;;*;Kaikki;kaikki;208;176;145;166;242;740;2369;3857;3341;2627;2268;2522;2637;2849;3476;4826;5309;3875;3222;2478;2043;1436;973;503;52288
471;vt3_Tampere_Multisilta;20240830;*;;*;Kaikki;kaikki;264;192;148;140;252;710;2114;3325;2872;2530;2514;2891;3344;3826;4553;5596;5443;4549;3681;2563;1877;1459;1032;766;56641
